Circle,Division,SubDivision,Section,Area,CatCode,CatDesc,TotServices,BilledServices,Units,Load
WARANGAL,WARANGAL,MULUGU ROAD,MATWADA,BONDIVAGU,2,COMMERCIAL,904,827,92181,1981.473
WARANGAL,WARANGAL,MULUGU ROAD,MATWADA,D SWAMY TEMPLE,2,COMMERCIAL,877,798,55860,1174.66
WARANGAL,WARANGAL,MULUGU ROAD,MATWADA,GOPALASWAMY TEMPLE,2,COMMERCIAL,139,128,29388,351.982
WARANGAL,WARANGAL,MULUGU ROAD,MATWADA,INTEZAR GANJ,2,COMMERCIAL,463,431,66185,1084.91
WARANGAL,WARANGAL,MULUGU ROAD,MATWADA,J P N ROAD,2,COMMERCIAL,526,469,78279,1206.2
WARANGAL,WARANGAL,MULUGU ROAD,MATWADA,KONDURIVARI STREET,2,COMMERCIAL,275,254,17663,366.062
WARANGAL,WARANGAL,MULUGU ROAD,MATWADA,M G M ROAD,2,COMMERCIAL,291,241,33241,523.045
WARANGAL,WARANGAL,MULUGU ROAD,MATWADA,MATWADA,2,COMMERCIAL,274,225,55458,629.287
WARANGAL,WARANGAL,MULUGU ROAD,MATWADA,PEPAIAHPET CHAMAN,2,COMMERCIAL,290,262,28646,442.07
WARANGAL,WARANGAL,MULUGU ROAD,MATWADA,PINNAVARI STREET,2,COMMERCIAL,534,475,36582,606.565
WARANGAL,NARSAMPET,NARSAMPET(R),KHANAPUR,Nazithanda,2,COMMERCIAL,3,2,19,3.0
WARANGAL,NARSAMPET,NARSAMPET(R),KHANAPUR,PAKAL,2,COMMERCIAL,16,4,652,31.42
WARANGAL,NARSAMPET,NEKKONDA,NEKKONDA,Gollapally,2,COMMERCIAL,28,28,944,27.3
WARANGAL,NARSAMPET,NEKKONDA,NEKKONDA,Hari chand thanda,2,COMMERCIAL,1,1,28,1.0
WARANGAL,NARSAMPET,NEKKONDA,NEKKONDA,Lavudya vagyanaik thanda,2,COMMERCIAL,4,4,38,8.0
WARANGAL,NARSAMPET,NEKKONDA,NEKKONDA,MUDI KONDA,2,COMMERCIAL,22,18,2754,66.06
WARANGAL,NARSAMPET,NEKKONDA,NEKKONDA,Mahaboob naik thanda,2,COMMERCIAL,2,2,2,2.0
WARANGAL,NARSAMPET,NEKKONDA,NEKKONDA,NEKKONDA(H.Q),2,COMMERCIAL,488,326,38483,833.15
WARANGAL,NARSAMPET,NEKKONDA,NEKKONDA,NEKKONDA-2,2,COMMERCIAL,354,348,45351,686.524
WARANGAL,NARSAMPET,NEKKONDA,NEKKONDA,Nekkonda thanda,2,COMMERCIAL,2,2,0,4.0
WARANGAL,NARSAMPET,NEKKONDA,NEKKONDA,PANIKARA,2,COMMERCIAL,36,29,2050,58.16
WARANGAL,NARSAMPET,NEKKONDA,NEKKONDA,PATHIPAKA,2,COMMERCIAL,21,20,1308,41.944
WARANGAL,NARSAMPET,NEKKONDA,NEKKONDA,Pittakalabodu thanda,2,COMMERCIAL,3,2,0,3.0
WARANGAL,NARSAMPET,NEKKONDA,NEKKONDA,REDLA WADA,2,COMMERCIAL,77,63,14766,144.21
WARANGAL,WARANGAL,MULUGU ROAD,AREPALLY,AREPALLI,2,COMMERCIAL,316,272,97546,1116.026
WARANGAL,WARANGAL,MULUGU ROAD,AREPALLY,ENUMAMULA,2,COMMERCIAL,201,158,23068,444.36
WARANGAL,WARANGAL,MULUGU ROAD,AREPALLY,KOTHAPET,2,COMMERCIAL,22,20,3123,57.69
WARANGAL,WARANGAL,MULUGU ROAD,AREPALLY,MUSALAMMAKUNTA,2,COMMERCIAL,80,78,11440,174.56
WARANGAL,WARANGAL,MULUGU ROAD,AREPALLY,PAIDEPALLI,2,COMMERCIAL,398,325,54965,1051.15
